No,SubNo,Result,Reason
1,1,2,(login 파일에 auth required pam_securetty.so가 설정되어 있지 않 음)
1,2,2,(패스워드 복잡성이 부적절하게 설정되어 있음 (기준 : minlen=8 다른 > 속성은 -1))
1,3,2,(system-auth파일에 tally를 통한 deny설정이 부적절하게 설정되었거나 없음)
1,4,1,-
2,1,1,-
2,2,1,(소유자 또는 그룹이 없는 파일 및 디렉터리 없음)
2,3,1,-
2,4,1,-
2,5,2,(hosts파일의 권한 또는 소유자가 부적절함)
2,6,3,점검에 필요한 파일이 서버 내 존재하지 않음
2,7,1,-
2,8,1,-
2,9,4,수동진단 필요(OS 기본파일을 확인해서 제외해야함)
2,10,4,(passwd파일 내 홈 디렉터리 확인, 소유자가 본인 또는 root/쓰기> 는 소유자만인지 확인)
2,11,1,(World writable 파일이 존재하지 않음)
2,12,2,(Device 파일이 맞는지 확인 필요, OS 기본은 양호)
2,13,1,(Device 파일이 맞는지 확인 필요, OS 기본은 양호)
2,14,4,(인터뷰 필요)
3,1,1,(서비스 설치되어 있지 않음)
3,2,4,(정확히ftp로 된 계정과, Anonymous로 된 계정 없는지 확인)
3,3,1,(검사할 파일이 존재하지 않음)
3,4,1,-
3,5,1,(서비스 설치되어 있지 않음)
3,6,1,-
3,7,1,(NFS 서비스 없음)
3,8,1,-
3,9,1,(서비스 설치되어 있지 않음)
3,10,1,-
3,11,1,(서비스 설치되어 있지 않음)
3,12,1,(서비스 설치되어 있지 않음)
3,13,1,(서비스 설치되어 있지 않음)
3,14,1,(서비스 설치되어 있지 않음)
3,15,1,(서비스가 비활성화 됨)
3,16,1,(서비스가 비활성화 됨)
4,1,4,(인터뷰 필요)
5,1,4,(인터뷰 필요)
1,5,1,-
1,6,2,(사용자가 설정된 그룹이 존재하지 않음)
1,7,2,(패스워드 최소길이가 설정되지 않음)
1,8,2,(패스워드 최대 사용기간이 설정되지 않음)
1,9,2,(패스워드 최소 사용기간이 설정되지 않음)
1,10,4,(계정 리스팅해서 엑셀로 계정별 사용목적 회신받기)
1,11,4,(root 그룹 내 계정 리스팅 해서 루트권한 사용목적 회신받기)
1,12,2,(계정이 존재하지 않는 그룹 존재함)
1,13,1,-
1,14,4,(로그인이 필요한 사유 회신받기)
1,15,2,(설정이 되어 있지 않음)
2,15,3,(파일이 존재하지 않음)
2,16,1,-
2,17,2,(UMASK가 잘못 설정됨)
2,18,2,(소유자 또는 권한이 부적절하게 설정됨)
2,19,1,-
2,20,2,(불필요한 숨김파일이 존재함 -> 담당자 확인 필요)
3,24,1,(telnet은 설치되어 있지 않으며 ftp 서비스를 비활성화 시켜둠)
3,25,1,(ftp 서비스를 비활성화 시켜둠)
3,26,1,(쉘을 사용할 수 없게 설정되어 있음)
3,27,1,(해당 설정 파일이 존재하지 않음)
3,28,1,(해당 설정 파일이 존재하지 않음)
3,29,1,(해당 설정 파일이 존재하지 않음)
3,30,1,(snmp서비스 미작동 중)
3,31,1,(snmp서비스 미작동 중)
3,32,2,/(서버 로그온 메시지 미설정됨)
3,33,1,
3,34,1,(sendmail 설치되어 있지 않음)
5,2,2,/(\*.alert 미설정 되어있음)
